;id;title;authors;identifier;publisher;img_url;creator_id;identifier_type
1435;1493;The Agony of Gallipoli;John Laffin;750936398;The History Press Ltd;http://ecx.images-amazon.com/images/I/51DJS300T3L._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1436;1494;Gallipoli, 1915: Frontal Assault on Turkey;Philip J. Haythornthwaite;1855321114;Osprey Publishing;http://ecx.images-amazon.com/images/I/51CJGX7EX0L._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1437;1495;My Seventy-Five: The Journal of a French Gunner, August-September 1914;Paul Lintier;1907677305;Helion & Company Ltd;http://ecx.images-amazon.com/images/I/51igOIG2BCL._SL500_AA300_.jpg;1;ASIN
1438;1496;War Surgery 1914–18;Thomas Scotland & Steven Heys (eds.);9,78191E+12;Helion and Company;http://office.casematepublishing.com/covers/9781907677700.jpg;1;ASIN
1439;1497;NICE DAY FOR A WAR: ADVENTURES OF A KIWI SOLDIER IN WORLD WAR I;Elliott Matt, Slane Chris;9,78187E+12;HarperCollinsPublishers;http://harpercollins.co.nz/fmi/images/isbn13/thumbnail/9781869509019.jpg;1;ASIN
1440;1498;Naval Aces of World War 1 part 2 (Aircraft of the Aces);Jon Guttman;1849086648;Osprey Publishing;http://ecx.images-amazon.com/images/I/5160gzzDreL._SL500_AA300_.jpg;1;ASIN
1441;1499;Faces of World War I;Max Arthur;1844037126;Cassell;http://ecx.images-amazon.com/images/I/510G0MqwzyL._SL500_AA300_.jpg;1;ASIN
1442;1500;The Baby Killers: German Air Raids on Britain in the First World War;Thomas Fegan;850528933;Pen & Sword Books Ltd;http://ecx.images-amazon.com/images/I/51k6F0GHE7L._SL500_AA300_.jpg;1;ASIN
1443;1501;German Air Raids on Great Britain 1914-1918;Joseph Morris;1843421496;Naval and Military Press;http://ecx.images-amazon.com/images/I/41JOFPmqVyL._SL500_AA300_.jpg;1;ASIN
1444;1502;The Final Whistle:the Great War in 15 Players;Stephen Cooper;752479350;The History Press;https://p.twimg.com/AznNf-YCAAAoWa2.jpg;156;ASIN
1445;1503;First World War Britain (Shire Living Histories);Peter Doyle;747810982;Shire Publications;http://ecx.images-amazon.com/images/I/5133gkz89sL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1446;1504;Development of German Warplanes in WWI: A Centennial Perspective on Great War Airplanes and Seaplanes: 1;Jack Herris;1935881086;Aeronaut Books ;http://ecx.images-amazon.com/images/I/51AyuJjUmUL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1447;1505;The Australian Army in World War I;Robert Fleming;184908632X;Osprey Publishing;http://ecx.images-amazon.com/images/I/51rvCdxaQGL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1448;1506;Open Cockpit;Arthur Gould Lee;1908117257;Grub Street;http://ecx.images-amazon.com/images/I/514py8LAyAL._SL500_AA300_.jpg;1;ASIN
1449;1507;Tracing Your Prisoner of War Ancestors: The First World War;Sarah Paterson;1848845014;Pen & Sword Books Ltd;http://ecx.images-amazon.com/images/I/519vhoFPNDL._SL500_AA300_.jpg;1;ASIN
1450;1508;The Germans in Flanders 1915 (Images of War);David Bilton;1848848781;Pen & Sword Military;http://ecx.images-amazon.com/images/I/51SiW55Q-cL._SL500_AA300_.jpg;1;ASIN
1451;1509;The Germans in Flanders 1914 -1915 (Images of War);David Bilton;184884445X;Pen & Sword Military;http://ecx.images-amazon.com/images/I/51TaG245rjL._SL500_AA300_.jpg;1;ASIN
1452;1510;Elender Krieg 1: 1914-1915-1916;Jacques Tardi;3037310499;Edition Moderne;http://ecx.images-amazon.com/images/I/51hZ0Yg9ZuL._SL500_AA300_.jpg;1;ASIN
1453;1511;Feldgrau 1915-16: The War and Peace Time Uniforms of the German Army - the Official Regulations of 1915-1916;Charles F. Wooley;764339583;Schiffer Publishing Ltd;http://ecx.images-amazon.com/images/I/51wMBr4x3pL._SL500_AA300_.jpg;1;ASIN
1454;1512;The Germans in Flanders 1914 (Images of War);David Bilton;9,78185E+12;Pen & Sword Books Ltd;http://ecx.images-amazon.com/images/I/519MuFvYEwL._SL500_AA300_.jpg;1;ASIN
1455;1513;Carnage: The German Front in World War One;Alistair Smith, Jonathan Sutherland;1848846827;Pen & Sword Military;http://ecx.images-amazon.com/images/I/514Wy8xQWOL._SL500_AA300_.jpg;1;ASIN
1456;1514;The Trench;Richard Van Emden;593049756;Bantam Press ;http://ecx.images-amazon.com/images/I/51HYH8J4G5L._SL500_AA300_.jpg;1;ASIN
1457;1515;Sheffield City Battalion: the 12th (Service) Battalion York & Lancaster Regiment;Ralph Gibson, Paul Oldfield;1844154238;Pen & Sword Books Ltd;http://ecx.images-amazon.com/images/I/51NJZB0P2VL._SL500_AA300_.jpg;1;ASIN
1458;1516;At War with the 16th Irish Division 1914-1918: The Letters of J. H. M. Staniforth;Richard S. Grayson;1848846347;Pen & Sword Military;http://ecx.images-amazon.com/images/I/51nV8HKOzoL._SL500_AA300_.jpg;1;ASIN
1459;1517;We Will Not Fight...: The Untold Story of World War Ones Conscientious Objectors;Will Ellsworth-Jones;1845133005;Aurum Press Ltd;http://ecx.images-amazon.com/images/I/518V3-dR31L._SL500_AA300_.jpg;1;ASIN
1460;1518;For King And Country: Voices from the First World War;Brian MacArthur;349120293;Abacus;http://ecx.images-amazon.com/images/I/51A7GLplNGL._SL500_AA300_.jpg;1;ASIN
1461;1519;Casualty Figures: How Five Men Survived the First World War;Michele Barrett;1844672301;Verso Books;http://ecx.images-amazon.com/images/I/51rRXjzVHzL._SL500_AA300_.jpg;1;ASIN
1462;1520;Diary of Annie's War - The Diary of an Englishwoman in Germany During WW1;Annie Droege;190859697X;Grosvenor House Publishing Ltd;http://ecx.images-amazon.com/images/I/51DN7TpSITL._SL500_AA300_.jpg;1;ASIN
